reviewer,stars,title,review,date,country
lskaren55,5,Five Stars,Five Stars. Fascinating!,2014-10-10,Estados Unidos
Dale Baker,4,Four Stars,Four Stars. Interesting and very different.,2015-04-12,Estados Unidos
Miles Beacom,5,"Outliers, the book","Outliers, the book. A very good read, lots of new stuff to think about.  A newer look about being in the right place at the right time.  Some good observations about the authors roots that cover my Irish ancestry as well.  I bought a few more copies to send to my kids.",2011-05-20,Estados Unidos
Kevin Choi,4,It wakes me up.,It wakes me up.. This book gives me a chance to expand my viewpoint and translate the facts from various kinds of perspectives eventually enables me to get a bird eye over things.,2012-12-07,Estados Unidos
Vincent Laudati,5,Fun to read.,Fun to read.. Great book. Fun to read and very informative.,2015-04-07,Estados Unidos
Steve Akomah,5,Five Stars,"Five Stars. Great Book! Awesome read for anyone whom has goals, dreams and ambition. I recommend all to read.",2014-10-28,Estados Unidos
Diane Siegel,5,Outliers-- It's a Success!,Outliers-- It's a Success!. This is a great read. I find myself thinking back to various chapters and referencing them in discussions. How often do you do that???,2011-07-23,Estados Unidos
Jkingsleysmith,5,good book,good book. This one made me think. It's hard to re think the nature and dynamics of success. I am glad I bumped into these ideas.,2014-03-29,Estados Unidos
Barbara A Buzzella,5,best book I have read in years!,best book I have read in years!. Compelling arguments and interesting historical facts. I loved this book.,2015-03-27,Estados Unidos
Scott Harris,5,Five Stars,Five Stars. Fascinating read!,2015-01-06,Estados Unidos
33333,5,Five Stars,Five Stars. Thanks,2015-12-08,Estados Unidos
VHPH,5,Five Stars,Five Stars. Enjoyed it a lot,2015-02-23,Estados Unidos
R. Bustillos,5,Outliers,Outliers. Great thought provoking book. I recommend it to every college freshman. Gives you a new spin on what dedicated life's work is really about.,2013-08-24,Estados Unidos
lana,5,Five Stars,Five Stars. Excellent read,2014-10-25,Estados Unidos
Tim,5,outstanding!,outstanding!. Book has been a true game changer for how I look at my children's education and general upbringing! Thank you Mr. Gladwell.,2014-02-04,Estados Unidos
Andrew D Barksdale,5,Five Stars,Five Stars. Great! Thought provoking,2015-08-17,Estados Unidos
Susan,3,I didn't like the disguised propaganda chapter on Bill Gates,"I didn't like the disguised propaganda chapter on Bill Gates. I skipped a few chapters, it was an ok read, kind of long.  I didn't like the disguised propaganda chapter on Bill Gates.  Don't believe his version at all.  If anyone knows the history of the banking class who now control the world and the world's money, they would not skip the fact that Gates comes from this class.  The PC revolution was not his doing solely, and it was probably planned.  His family has been in Eugenics.  His foundation disguises their real goal by putting on the face of philanthropy.  I bet you this author is also one of the 'fake Jews' - if you notice, too much of our media content comes from fake Jews.",2015-02-11,Estados Unidos
Jim L - Florida,5,Outliers - Fantastic Read,Outliers - Fantastic Read. Such an interesting book! I couldn't put it down. This is a must-read for every parent and educator.,2015-06-15,Estados Unidos
Monica Reece,4,Four Stars,Four Stars. This book was very interesting. The ideas discussed were very eye-opening.,2015-03-31,Estados Unidos
A.M.Washington,5,"Modern, Insightful Analysis","Modern, Insightful Analysis. Wonderful analysis and thoughtful, up-to-date discussion regarding talent development and its implications. This time, I need eight more words, words.",2013-07-23,Estados Unidos
susan malcolm,5,Another great book from Malcolm Gladwell,Another great book from Malcolm Gladwell. excellent book ! Very educational and insightful about what we may have always taken for granted.,2013-07-17,Estados Unidos
Jerry Fluellen,5,Creative nonfiction at its best..,Creative nonfiction at its best... Creative nonfiction at its best...,2015-08-30,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Great condition,2016-06-01,Estados Unidos
Jenn Mishler,5,pleasure to read,pleasure to read. Fascinating read and one that almost anyone can enjoy. I'll bee back for more Gladwell.,2014-10-03,Estados Unidos
CESAR MEJIA,3,Expecting more.,"Expecting more.. It ok, I was expecting more information about how to be success. For example, How to use the examples of the successful people in my life.",2013-05-24,Estados Unidos
mayra,5,eye opening,"eye opening. it gathers a series of different outliers and explains the particular settings that made this possible, eye opening and very  concrete.",2013-04-16,Estados Unidos
Kimberly Gonzalez,5,brand new! didn't have the cover slip so it ...,brand new! didn't have the cover slip so it .... brand new! didn't have the cover slip so it didn't say the title but that was not a big deal!,2014-10-04,Estados Unidos
Praveen K Hasija (JIMMY),4,Success can be perennial if handled well ....................,Success can be perennial if handled well ..................... Excellent book with real examples of how one can convert opportunities into reality with perseverence ...............,2014-07-15,Estados Unidos
RP,5,My favorite author ever,"My favorite author ever. Wow!  really way outside the box.  Next read ""What the Dog Saw"".  Thought I had read all his books.  One more!",2014-02-08,Estados Unidos
stacey swetnam,5,MUST READ,MUST READ. I reccomend this book to anyone. I have re-read it at least 4 times. Malcolm has such a talent at breaking down concepts and linking everything together.,2013-01-26,Estados Unidos
@eqadvantedge,5,Excellent book,"Excellent book. It is very interesting, well written and informative. I recommended the book to many of my friends already! Really worth while reading!",2013-08-30,Estados Unidos
T. Laaser,5,Fantastic,"Fantastic. Mr. Gladwell is a master story teller, blending humor and a rigorous scientific approach that is as informative as it is entertaining. It was a fairly quick read for me since both his style and the anticipation of ""What else connects together"" keeps you wanting to know what's in the next chapter. His topic was so interestng I've continued reading other books on similar topics. It's an eye opening book and a great read.",2010-01-17,Estados Unidos
A. Weisberg,5,Couldn't put this book down.,Couldn't put this book down.. This book is excellent.  Entertaining and insightful.  I couldn't put it down and finished it in two days.,2008-12-31,Estados Unidos
Atul,5,nice read,nice read. Well crafted and an easy to understand way of explaining the success of outliers. A good light read for everyone,2014-09-17,Estados Unidos
Kevin Hitchen,5,Eye opening,Eye opening. Great book. Shed's light on may things the average person has never considered. You get done reading this book a much smarter person.,2013-03-24,Estados Unidos
Matias Castro,4,"Fun book, almost a novel","Fun book, almost a novel. Fun, but lacks references.",2014-12-23,Estados Unidos
Carl E. Jessen,5,A great read.,A great read.. A great read,2013-07-20,Estados Unidos
Yvonne Knight,5,Outliers,Outliers. This is a very fascinating and insightful book. Easy reading and makes you think about things you probably didn't know before.,2009-04-26,Estados Unidos
Brian Whitehill,5,Page turner,Page turner. I loved this book! If you have small kids you should read it. And that's coming from a guy who doesn't have kids.,2014-03-18,Estados Unidos
MS,5,Creative outlook on how to obtain success,"Creative outlook on how to obtain success. Great analysis and well written. Different way to seek success and understand its causes and implications. If you are a business person, you will love this book.",2013-05-10,Estados Unidos
Cassian Davis,5,Outstanding read!,"Outstanding read!. I found ""Outliers"" by Malcolm Gladwell to be an outstanding read, so much so that I am now going to read the rest of his publications.",2011-02-02,Estados Unidos
John,5,Jhunt63,Jhunt63. Great insight into the arbitrary world of success. Food for thought in a world where success has become the idol at which we worship,2014-01-08,Estados Unidos
Kelli Haney-Dix,5,Five Stars,Five Stars. Book was clean and as described.,2015-11-07,Estados Unidos
William Brewer,3,Near Miss,"Near Miss. Oh silly me. Here I thought that creating opportunity, providing rich and diverse experiences, private education, service opportunities, devoted love and attention was going to be sufficient to put my son on a trajectory to a successful life. I have had the joy of experiencing a gaze into the eyes of my new born and seeing there, the faces of my family long dead but now alive in the hope of a bright future. This book declares the obvious in a narrow frame of personal experience supported by some social and historical snippets. I was almost convinced.",2017-10-31,Estados Unidos
Campbelliv,4,Informative,Informative. Good insight continents Gladwell defines success as. I hoped he would define his method or opinion about how to become an outlier.,2013-07-11,Estados Unidos
Othon Leon,5,Malcolm rocks... period!,"Malcolm rocks... period!. After ""Blink"" (his past book) I never thought he could improve that! Leave aside the fascinating stories about famous people and the correspondant explanations of their success, brilliantly described in this masterpiece (Bill Gates, The Beatles, Hockey players, etc.)... or the wonderful description of why high IQ's mean little more than nothing in predicting anyone's success... or the delicious interpretation of why Asian students stand out in math at school... Mr. Gladwell, IMHO, really becomes one of my top 5 favorite contemporary writters by giving us the formula (yes, a kind of a method!) to become ""experts"" in any given filed of our choice... the ""10,000 hours"" element...",2009-08-23,Estados Unidos
Pamela Corzano,5,Five Stars,Five Stars. Awesome book,2015-09-02,Estados Unidos
Mike E. Carlen,5,Incredible bok,"Incredible bok. I read this a couple of years ago. Gave the book to someone and reordered to read again. Challenging, motivating and interesting.",2013-09-20,Estados Unidos
Roee,4,Four Stars,Four Stars. good reading.,2015-09-02,Estados Unidos
Cooper's Mom,4,Good Book by a Eunuch,"Good Book by a Eunuch. I enjoyed reading this book, but found it annoying that the author didn't have the gonads to mention the most egregious honor killers.  He talked about Southern rednecks but not Muslims.  History and truthfulness apparently take a backseat to PC for Gladwell.",2009-02-26,Estados Unidos
chris,4,Four Stars,Four Stars. Good book,2014-08-16,Estados Unidos
Efren,5,Great insight,Great insight. I recomend this book to anyone. This book opened my eyes into another way of looking at success and how its achived. A must read.,2013-06-22,Estados Unidos
Deepak Sanghi,5,insightful and well researched!,"insightful and well researched!. It is a great read! Insightful and well researched. I like the message - do meaningful work and when an opportunity knocks on the door, be prepared to grab it.",2013-05-29,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Very good,2016-05-22,Estados Unidos
Thomas J  Willett,5,Easy to read and informative,"Easy to read and informative. Well written book, very interesting.  Easy to read and informative, food for thought.",2015-01-28,Estados Unidos
Shashi,5,Five Stars,Five Stars. Great book!,2015-07-22,Estados Unidos
Hairy,3,Outliers,"Outliers. An interesting book , easy read , with some insight on education , class size , why Asians are good at maths , and generally why some people succeed in life and others fail",2013-06-16,Estados Unidos
papa,4,good read - interesting information,good read - interesting information. Good book.  Lot of information that I found interesting.,2011-02-27,Estados Unidos
rockitman,2,Uninspiring,"Uninspiring. Was hoping for more. Maybe I ruined the surprise having already noticed the""outlier"" circumstances in real life. This didn't offer anything helpful to me. Admittedly I stopped 1/3 through so maybe there were nuggets at the end. This book is often referred to and sadly not worth the read.",2016-05-27,Estados Unidos
EddieEdwin,4,Four Stars,Four Stars. Very interesting.,2016-01-10,Estados Unidos
Sunny,5,Five Stars,Five Stars. Great book! Good service by Amazon.,2017-05-02,Estados Unidos
Amazon Customer,4,Interesting read,Interesting read. Very interesting book.  Enjoyed most of it. Especially about the sports. Other bits no so interesting to me but still readable.,2014-01-23,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. EXCELLENT BOOK!,2016-01-18,Estados Unidos
Nyi Nyi,5,Five Stars,Five Stars. Great reading.,2015-05-08,Estados Unidos
Anthony Buehler,4,Good read,"Good read. A good read , gets you excited to work hard. I enjoyed it more than blink by Malcolm Gladwell. The last 2  chapters were a bit boring thought",2013-03-09,Estados Unidos
ADRIENNE,4,Insightful,Insightful. this book was an assignment for my English class.I wasn't to excited at first but as I read it really makes you think,2014-04-18,Estados Unidos
toots,3,Outliers,"Outliers. A thought provoking book about what the ""recipe"" for success is.  Definitely worth reading when you have small children or are planning a family.",2012-06-06,Estados Unidos
Ayesha,4,Good Read,Good Read. Valuable lessons: not just as a professional but as a parent. Helps you be alert regarding opportunities that may be right in front of you.,2014-01-10,Estados Unidos
ssabus,5,Iutkiers,Iutkiers. Greatest success story ever told. Success & how people succeed in life is in here! & it will shock you.,2014-08-09,Estados Unidos
Federico Rodriguez Islas,4,Four Stars,Four Stars. Great Read!,2015-08-11,Estados Unidos
Nathan V,5,Gladwell did it again,Gladwell did it again. Success comes in all shapes and sizes. Gladwell did it again with this book. I enjoyed,2014-07-11,Estados Unidos
Jonathan Kenney,4,Four Stars,Four Stars. Fascinating read on why success comes to some and not others.,2014-11-17,Estados Unidos
MARILYN NEBEL,5,Five Stars,Five Stars. the road to exceptionalism never so well defined,2014-11-09,Estados Unidos
jeffrey morin,5,Analytical,Analytical. I would definitely recommend this book to anyone that is interested in behavioral economics or redefining the road to success,2014-01-11,Estados Unidos
Penobman,5,Outliers,Outliers. Great book for anyone who loves to see accepted paradigms shattered.  Well written with very interesting examples.  The biggest surprise is the epilogue!,2012-07-29,Estados Unidos
Ava G,5,Wonderfully written.,Wonderfully written.. This book really opened my eyes. Wonderfully written.,2015-05-30,Estados Unidos
KT,5,Addictive!,"Addictive!. If you are the type of person who enjoy books based on real facts, informative and clever, this is probably your type of book.",2013-12-20,Estados Unidos
Deeppocket,5,Wish I read this 20 years ago,Wish I read this 20 years ago. Great book.,2009-11-14,Estados Unidos
Donald Ray McCann,5,Fascinating,Fascinating. Very interesting look at multiple scenarios to help see why something really happened.  Was it skill or was there luck contributing?  Was this situation unique or were there other historical factors involved?,2017-03-14,Estados Unidos
Kindle Customer,5,Comment,"Comment. Arrived on time, and I hate being force to write comments about this stuff so I am going to stop now",2013-01-20,Estados Unidos
Anne Chris Goodson,4,Good read,Good read. Interesting stories.  Makes for good conversation.  It is just what you would expect from Malcolm Gladwell.  Glad I read it.,2014-01-29,Estados Unidos
Donna Lynn,4,Outstanding,Outstanding. My 20 yr old son ( finance major) recommended reading it.  Good suggestion. Gladwell is an excellent writer.  Looking for more of his works.,2013-01-12,Estados Unidos
Marc Lockett,5,Hard work pays off in the end.,Hard work pays off in the end.. This book shows that hard work and dedication will pave the way to success.  I haven’t finished reading the book but I’ve heard so many things about it.,2013-12-26,Estados Unidos
Duane W. Dresser,4,"""Outliers""  Succeed or Fail","""Outliers""  Succeed or Fail. ""Outliers"" by Malcolm Gladwell is a well-written collection of studies into several areas of human activities from hockey players to air traffic controllers examining why some persons excel and others fail.  While some of the author's analyses and conclusions may be open to debate, he has obviously done considerable scholarly research into a wide variety of subjects and has presented his material in a higly-readable manner.",2009-12-06,Estados Unidos
Greg williams,5,Insightful,Insightful. Fascinating and insightful. Tends to cause you to want to reevaluate your own success or lack thereof. Advantage is most often gained without control of the source.,2013-06-03,Estados Unidos
Beth Sansoni,5,Success Factors,Success Factors. Interesting research that shows we are all the products of our inheritance and gives ideas for how we can make everyone more successful.,2013-11-10,Estados Unidos
l. javier montiel,4,I strongly recommend the book,I strongly recommend the book. A most for everybody BUT specially for parents. The statitic studies are very convincing of how we can help our children develoment,2013-09-19,Estados Unidos
JR Moore,5,Five Stars,Five Stars. Best book I've ever read!,2014-09-06,Estados Unidos
Monish Corona,5,So far so good.,"So far so good.. Needed this book for college, and it came in flawless condition.",2014-09-07,Estados Unidos
Linda R Gordon,5,enlightenment,enlightenment. Insight into how success has expressed itself at its best. This was my second read even more fruitful than my first.,2014-02-27,Estados Unidos
Glen Watson,4,Four Stars,Four Stars. uhh,2015-04-03,Estados Unidos
J. Brill,3,Outliers,"Outliers. Very interesting reading, lost air in the last chapter.  Good airplane book, well written",2009-02-18,Estados Unidos
Mitch,5,Five Stars,Five Stars. good reading,2015-06-16,Estados Unidos
powersoul,5,Great Book!,"Great Book!. First off, the supplier did a good job shipping the book in time and in good condition.",2013-06-28,Estados Unidos
Ecurb,5,Is life luck and chance,Is life luck and chance. The concepts of where and when one is born and the impact on life is fascinating especially the birthdates of people involved in sports,2012-11-24,Estados Unidos
Clinton Betchan,5,Great read!,Great read!. Great book! Opens up your mind to  new perspective.  Definite read for people who like the Freakonomics series of books.,2013-12-09,Estados Unidos
Paying Customer,3,Interesting quick read,Interesting quick read. Very interesting cases. Ending could have been more inspiring.,2014-12-24,Estados Unidos
J. M. SINGH,5,Outstanding book and entertaining as well,Outstanding book and entertaining as well. What a delightful read! I really enjoyed Outliers. It not only shows what is important in terms of success and how we may use this knowledge to help more people become successful.,2009-06-01,Estados Unidos
Dana O.,5,Fascinating read,Fascinating read. I'm not a huge fan of fiction reading. I love non-fiction like this book!  Mr. Gladwell is a gifted storyteller. I can't wait to read more of his books.,2013-03-02,Estados Unidos
Margarita Rosas,5,Great book,Great book. I love this book! I like the way how Malcolm Gladwell think about the world. He help us to see things from a diferent perspective.,2014-06-04,Estados Unidos
What???,5,Better/best,"Better/best. This was my best read in a long time. I like the ones that give us something to think about, and I thought about this for a long time.",2011-01-05,Estados Unidos
Dan Compton,4,Four Stars,Four Stars. Good Book,2016-03-02,Estados Unidos
Michael Quinn,5,Five Stars,Five Stars. Very interesting perspective that one would not have without Mr. Gladwell's unique insight!,2014-08-16,Estados Unidos
Dorothy J. Knowles,5,Five Stars,Five Stars. Very Interest and thought provoking!,2015-06-07,Estados Unidos
bobby,3,I expected more,I expected more. The writing drags on and one cannot help but push through some sections that drag on monotonously.,2013-06-03,Estados Unidos
ALVARO ALONSO OCEJO,5,Five Stars,"Five Stars. Great book, filled with all sorts if interesting facts.",2014-10-19,Estados Unidos
Yvonne,5,Five Stars,Five Stars. Love everything Malcolm Gladwell,2014-12-31,Estados Unidos
Ira Perkins,5,Great,Great. Really intriguing book. Found it to be a very easy read and I learnt a lot from reading it. Thoroughly recommend this to anyone.,2013-02-28,Estados Unidos
Michele Knabe,5,Loved it!,Loved it!. Malcolm Gladwell leaves no stone unturned in his research into understanding why things are the way they are.  A great read for a curious mind.,2014-03-05,Estados Unidos
Rebecca Buck,5,Five Stars,Five Stars. met exspectations,2015-07-12,Estados Unidos
haynesbt,5,Five Stars,Five Stars. Great book in great quality,2015-10-31,Estados Unidos
Theresa Powell,5,Outliers,Outliers. This was a great book. I reccoment this product to anyone who is open to looking at things in a different way.,2014-01-31,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Yeah good,2015-02-15,Estados Unidos
Leonard Veillon,5,Five Stars,Five Stars. Good!,2015-03-16,Estados Unidos
Marj Heron,4,Thought provoking statistics.,"Thought provoking statistics.. Interesting information for all - parents, educators et al",2014-12-13,Estados Unidos
Christian Ramirez,5,Nice,Nice. Excellent book. Highly recommend,2015-03-10,Estados Unidos
D. L. Keur,5,Interesting Analysis,"Interesting Analysis. An interesting, maybe even startling, analysis of why a few folks succeed and most don't.",2009-09-06,Estados Unidos
Harrison,4,Good,"Good. I thought the book was very interesting; however, I would have to disagree with a few of the concepts outlined in the read.",2013-08-22,Estados Unidos
Hannah Denney,4,Personality I like how the author focused on more than one person ...,Personality I like how the author focused on more than one person .... Book Review for Outliers,2016-08-07,Estados Unidos
sarah,5,Five Stars,Five Stars. Real good read.,2015-09-29,Estados Unidos
Christoph,5,must read!,"must read!. First off I'm not a book critic but I enjoy reading well written books - mostly non-fiction. I heard many good things about this book and finally bought it on Amazon. Malcolm Gladwel makes an compelling  argument that there was immense good luck, hard work, and right timing behind various successful people that we accept as geniuses. Most of the book resonated with my personal beliefs. It was a good read and I frequently talk to my family and co-workers about it.",2016-08-23,Estados Unidos
Chad Stutzman,4,understanding Culture,understanding Culture. This book does a great job describing culture and how things came to be that way.  I loved the depth of research into history to explain why certain people are more successful than others.,2014-01-30,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Life changing!!!!!,2014-08-05,Estados Unidos
SUE,5,Five Stars,Five Stars. I absolutely loved the book,2015-11-30,Estados Unidos
steve konetschka,4,Four Stars,Four Stars. Most interesting read!,2015-05-02,Estados Unidos
William J. Di Cristina,3,good,"good. To me, it kind of dragged/",2015-03-26,Estados Unidos
Scott Smiley,5,Life Changing Book,"Life Changing Book. My mom begged me to read this book.  I hesitated.  She insisted and bought me the CDs.  I have now begged everyone I know to read or listen to this book.  This is LIFE CHANGING!!!!  It's been about a 6 months since I listened to the CDs and I talk about the content to someone at least once each week.  I look at the world differently now.  Buy it, buy it, buy it.  (and no, I am not being paid to say this)",2009-12-23,Estados Unidos
amor,5,Great Read.,Great Read.. An amazingly different perspective on people and success. Liked the fact that it was backed by logic and data. Must read !,2013-02-01,Estados Unidos
Dieuseul Orelien,4,Out of the box,Out of the box. This book is a must read for anyone who wants to  understand why success has eluded some people while others have a knack for finding it.,2013-12-28,Estados Unidos
Keri Thoele,4,Four Stars,Four Stars. Great narrative style with interesting examples to drive point home,2015-09-12,Estados Unidos
Joshua Reimiller,5,Awesome read!,Awesome read!. Awesome book canwait to read the rest of this authors books!,2015-02-03,Estados Unidos
Tay,5,great book,great book. Great perspective  on success . I would recommend this book to anyone looking to discover new ways to take charge of their success.,2014-01-17,Estados Unidos
Pearl A Grau,5,Five Stars,Five Stars. finally-- a really good and informative book. A must read.,2014-07-03,Estados Unidos
Oier Ruiz Trevino,4,Great book!,Great book!. This book was recommended to me by my manager and I found it to be a great mind opener book that gives you a new angle to success.,2012-09-19,Estados Unidos
Ruth Sommar,5,easy to read,"easy to read. Entertained, easy to read, interesting content.",2015-01-19,Estados Unidos
Miguel,5,Inspirational,Inspirational. Great viewpoint of what may make someone successful. Great read for someone who enjoys self help books. You'll enjoy the side stories.,2015-04-11,Estados Unidos
caroline,5,Great Book!,Great Book!. This book was great. I enjoyed reading it and did so in just a day. I highly recommend this book.,2012-11-23,Estados Unidos
Katherine Stively,5,Five Stars,Five Stars. Great book arrived fast and new!!,2015-01-14,Estados Unidos
Natalie,5,Five Stars,Five Stars. Fantastic! Very insightful and full of a-ha moments.,2015-03-20,Estados Unidos
suzanne sackstein,5,Makes you think,"Makes you think. I love this book, I think it is engaging and well written which makes for a great read, really enjoyed it",2013-07-17,Estados Unidos
big fan,2,You are what you are because of where you were when.,"You are what you are because of where you were when.. Here is the book in one sentence:  You are what you are because of where you were when, and if you worked at it 10,000 hours.",2013-11-14,Estados Unidos
Shopper,1,Bad book,Bad book. He makes shallow arguments that are repetitive and unproductive. I do not recommend reading unless you are entertained by his writing.,2015-11-23,Estados Unidos
Joan,5,very enjoy,"very enjoy. this book illustrates the simple theory with vivid stories, very enjoy reading",2014-08-19,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Great book!,2015-12-03,Estados Unidos
Ahbhoust,5,Outliers,Outliers. Outliers: The Story of Success,2011-08-02,Estados Unidos
Charles C Sanders,5,Five Stars,Five Stars. Enlightening and motivating read!,2015-07-14,Estados Unidos
Carol Grant Stevens,5,INteresting author,INteresting author. I have found every book by Gladwell to be an interesting READ!,2014-08-27,Estados Unidos
qi quan,5,Five Stars,Five Stars. very good,2015-06-16,Estados Unidos
pepper,5,outliers,outliers. Gladwell makes you think.  Another enthralling read from an author who continues to write well researched and challenging material.  Easy to read and hard to put down!,2012-03-12,Estados Unidos
Houston Chef,4,Outliers by Malcolm Gladwell,Outliers by Malcolm Gladwell. Outliers: The Story of Success,2011-09-26,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. ⭐️,2015-10-20,Estados Unidos
Allen  W DeVoe,5,loved it. could not leave it alone,loved it. could not leave it alone. loved it  .could not leave it alone,2015-03-12,Estados Unidos
terrie Mohrmann,5,Five Stars,"Five Stars. Fabulous book, one everyone should read..",2014-10-07,Estados Unidos
FireMan,3,"Interesting read, not over the top.","Interesting read, not over the top.. A good read and insight into how some are successful and how other just don't get the same opportunities.  We can miss the point that many have to make the opportunity become available to them.  We have a or to do with seizing the opportunity.",2016-11-24,Estados Unidos
Abram Arredondo,5,Five Stars,Five Stars. Good.,2015-06-26,Estados Unidos
Emily B Thompson,5,Thought provoking!,Thought provoking!. recommending to all my friends and family-constantly had to stop to read parts out loud to my husband-cool use of data.,2013-05-29,Estados Unidos
Randy A Levenson,5,fascinating!,fascinating!. This was a fascinating read. Stayed up way too late reading! There are so many factors that go into success or failure.,2014-03-07,Estados Unidos
carolina ,5,Genious!,"Genious!. Genious!!! Tons of profound rationale! Congratulations, it shows exactly how hard work and opportunity can transform a normal person in a outlier!",2014-03-04,Estados Unidos
Michael,4,Four Stars,"Four Stars. Excellent book. Informative, very well cited.  Good read.",2014-12-27,Estados Unidos
Nicholas Soos,5,Great Pick Up!,"Great Pick Up!. Awesome book to change your outlook on things, Great self development read. Worth it, you won't regret it, I promise!",2014-03-10,Estados Unidos
Aimee Ure,4,very thought provoking,very thought provoking. Very interesting case studies and theories. They got me thinking of situations in my own life where things may have added up.,2013-06-01,Estados Unidos
Jamal,5,Five Stars,Five Stars. Great read,2015-01-28,Estados Unidos
Jor-el Irizarry Torres,5,Outliers: Change Your Paradigm of Achieving Success,"Outliers: Change Your Paradigm of Achieving Success. Once again Malcolm Gladwell does a tremendous investigative job. This book will change many beliefs about success, and he presents the evidence support his claims. This book is great because it helps the reader plan for personal success. Outliers will also aid the reader in helping others achieve their own success, and that's even more outstanding.",2009-09-23,Estados Unidos
Benjamin Robaidek,5,Five Stars,Five Stars. Easy read. An Interesting analysis of data.,2014-12-11,Estados Unidos
Rod,4,Four Stars,Four Stars. Good read.,2014-11-19,Estados Unidos
stephen beath,5,enlightening,"enlightening. open well researched view, one with many levels for the mind to ponder, I want to purchase his other books",2013-09-12,Estados Unidos
Lauren Talley,5,Good,Good. So pretty book,2016-08-24,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Amazing book!,2015-10-07,Estados Unidos
Joao Bastos,3,The Story of success (book),"The Story of success (book). I""m not received a book. Only CD This CD is excelent good price perfect but i need the book and not come yet",2012-12-31,Estados Unidos
Nita Reddix,5,Five Stars,Five Stars. Came in perfect condition.,2014-09-04,Estados Unidos
Hailey D.,5,Five Stars,Five Stars. Awesome book,2015-07-03,Estados Unidos
Mahendra Patel,3,Three Stars,Three Stars. Awesome book. Riveting,2015-04-17,Estados Unidos
Kevin,5,Five Stars,Five Stars. Great read!,2015-06-26,Estados Unidos
The Perryman’s ,4,Four Stars,Four Stars. Excellent read! Gave it to my entire family as a Christmas gift,2015-01-21,Estados Unidos
George K.,4,Four Stars,Four Stars. I really enjoyed reading this book. I will recommend it to anyone.,2014-08-16,Estados Unidos
lena wilson,5,Five Stars,Five Stars. Very insightful.,2015-05-16,Estados Unidos
Mary Behny,5,If you are a Gladwell fan.....,If you are a Gladwell fan...... You myst pick this one up. By far my favorite of all Gladwell's books!,2014-07-08,Estados Unidos
Virginia Norton,5,Great read!!,Great read!!. Given it many times as a gift.  Always well received! I have all of Malcolm's books and this is my favorite.,2012-12-20,Estados Unidos
Diana McConnell,5,interesting book,interesting book. enjoyed reading this book-provided new perspectives on success. book arrived in great condition..I have shared it with friends and all found it to be very thought=provoking.Very satisfied with transaction,2013-01-02,Estados Unidos
J. Scott Lane,5,Five Stars,Five Stars. Excellent read! Recommend ing it to all!,2015-02-22,Estados Unidos
Sheryn H Parker,4,Four Stars,Four Stars. read it!,2014-08-28,Estados Unidos
AmazonGuru789,1,I'm shocked by all the good reviews.  It was aweful...,"I'm shocked by all the good reviews.  It was aweful.... I ordered this CD set with high hopes after reading all the good reviews. I thought there was no way it could be bad, but lo and behold, I was disappointed and bewildered by the time I got to the end of the last CD.  Dumbfounded, really.  It is boring, tedious, explains nothing, and gives you an overabundance of details in fields that you probably have no interest in.  The main thing is that the author never quite explains the meaning, reason or route to success.  The author give you the feeling that there is no rhyme or reason for anything, that it is all chance.  The end is very anti-climactic I might add. You learn nothing. What a let down.",2014-04-22,Estados Unidos
Re'Yana Graham,5,Must read,Must read. Great book,2015-03-09,Estados Unidos
Amazon Customer,5,Provides good lessons for life and how to get,Provides good lessons for life and how to get. Very inspiring novel.  Provides good lessons for life and how to get there,2014-10-01,Estados Unidos
John,5,Five Stars,Five Stars. Excellent,2015-09-18,Estados Unidos
Chris Sidorchuck,5,Five Stars,Five Stars. Terrific story; It made me think differently at the word today.,2014-08-18,Estados Unidos
Trevor Wells,5,Five Stars,Five Stars. It made me think in a different way because everything is not as it seems.,2016-05-26,Estados Unidos
YBay,5,Five Stars,Five Stars. Great book! I think that every parent and every teen should read this book.,2016-03-26,Estados Unidos
Herbert M. Gelfand,5,Five Stars,Five Stars. Extremely insightful.,2014-08-13,Estados Unidos
Hal Taylor,1,Flawed science,"Flawed science. Bad science heaped upon a completely unsubstantiated premise!  Malcolm ASSUMED that the reason the people in a village lived so long was because of their social structure.  I repeat ASSUMED!  He then goes on to turn this into FACT basing the remainder of the book on this assumption. Sounds like either side of global warming. Or, perhaps, both sides simultaneously!",2015-03-15,Estados Unidos
Vertell Benson,4,Four Stars,"Four Stars. Great book, really changed my outlook on how success is obtained.",2014-07-18,Estados Unidos
DANIEL MEJIA ROSALES,5,Great book,Great book. Greatly recommended AAA read!,2013-11-23,Estados Unidos
Kristen Cote,4,A great read.,A great read.. I found the contents of this book fascinating!  A great read.,2014-07-27,Estados Unidos
J. J. Nelson,3,Another book by Gladwell,"Another book by Gladwell. Naturally a similar writing style from ""Made to Stick"". It had it's catch all points. Nothing earth shattering, but easy reading",2009-08-11,Estados Unidos
